,Unnamed: 0,Name,starName,defaultPlanetEntry,numStars,numPlanets,solution,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,bestEarthMass,bestMassProvenance,eccentricity,equilTemp,stellarEffTemp,stellarRadius,stellarMetallicity,stellarMetallicityRatio,luminosity,stellarAge,distance,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid
1162,1162,HAT-P-54 b,HAT-P-54,1,1,1,Published Confirmed,0,3.799847,6175500.0,10.581,241.5508,241.5508,Mass,0.074,818.0,4390.0,431732.04,-0.127,[Fe/H],-0.902,3.9,143.651,0.20366301930926659,4.771961500062658,251.10816051798733,207.27425853970644,243.0815866945091,204.31868565105358,0.2539164493503718,0.23812098061797368,0.2729848893045593
1187,1187,HAT-P-58 b,HAT-P-58,1,1,1,Published Confirmed,0,4.0138379,7491000.0,14.93,118.23217,118.23217,Mass,0.073,1622.0,6078.0,1065403.26,-0.224,[Fe/H],0.456,7.11,515.59,0.03548461342274702,2.81056720676526,498.2266924874627,411.2553254223364,482.3010717516462,405.3911380315936,0.12109746092366995,0.13173061241097547,0.23185972693866064
1191,1191,HAT-P-59 b,HAT-P-59,1,1,1,Published Confirmed,0,4.1419771,7596000.0,12.588,489.45575,489.45575,Mass,0.03,1278.0,5678.0,765976.2000000001,0.217,[Fe/H],0.054,7.3,265.471,0.24509083590281203,6.227796291669689,392.5585236349997,324.0327863182204,380.0105444554611,319.41232583613635,0.21342331739604237,0.2284622714622688,0.33575706434277214
1203,1203,HAT-P-60 b,HAT-P-60,1,1,1,Published Confirmed,0,4.7947813,9415500.000000002,18.282,182.43351,182.43351,Mass,0.25,1772.0,6212.0,1531952.4000000001,0.037,[Fe/H],0.809,2.765,233.22,0.029820666172688776,3.1549792185210066,544.5342433710343,449.47934512118843,527.1284199409496,443.0701123519925,0.09856634244638819,0.10744517652174192,0.19261044486541157
1205,1205,HAT-P-61 b,HAT-P-61,1,1,1,Published Confirmed,0,1.90231289,4515000.0,10.077,335.94463,335.94463,Mass,0.113,1505.0,5587.0,654561.48,0.194,[Fe/H],-0.115,2.6,338.84,0.327912346217293,5.76665899519198,461.9745087859632,381.3313895308333,447.2076748778713,375.8938946516108,0.2285616072220454,0.24546886649807395,0.42877653630243
1208,1208,HAT-P-62 b,HAT-P-62,1,1,1,Published Confirmed,0,2.6453235,5657999.999999999,12.027,241.86742,241.86742,Mass,0.101,1512.0,5629.0,814720.1399999999,0.414,[Fe/H],0.091,8.1,348.815,0.1388638749682714,4.478845471873044,464.63874122649787,383.53054866031,449.7867461738109,378.0616954485581,0.18297590719226717,0.19761420522610978,0.34278549780265516
1209,1209,HAT-P-63 b,HAT-P-63,1,1,1,Published Confirmed,0,3.377728,6441000.0,12.543,195.14664,195.14664,Mass,0.069,1237.0,5400.0,675451.74,0.251,[Fe/H],-0.146,9.0,4483.05,0.0987735475473962,3.9394525709263157,379.9445682117485,313.6207461351615,367.79978916796784,309.1487534079804,0.19032316130630278,0.2046787564100258,0.28272484418401866
1212,1212,HAT-P-64 b,HAT-P-64,1,1,1,Published Confirmed,0,4.007232,8080500.0,19.089,184.34048,184.34048,Mass,0.101,1766.0,6457.0,1211635.08,-0.113,[Fe/H],0.668,2.88,651.897,0.02647006580864131,3.103664839654574,541.9731509696683,447.3653217160956,524.6491918532956,440.98623330889717,0.09422105128739482,0.10271353248022781,0.18397321973560055
1215,1215,HAT-P-65 b,HAT-P-65,1,1,1,Published Confirmed,0,2.6054552,5926500.000000001,21.185,167.49641,167.49641,Mass,0.304,1930.0,5835.0,1295196.12,0.1,[Fe/H],0.555,5.46,738.519,0.017595594261734116,2.808306891039613,592.9905129749266,489.47699925169775,574.0358038997728,482.49743042937075,0.07705964970889331,0.08427747698178793,0.1515379368033935
1217,1217,HAT-P-66 b,HAT-P-66,1,1,1,Published Confirmed,0,2.972086,6544500.0,17.822,248.86089,248.86089,Mass,0.09,1896.0,6002.0,1309122.96,0.035,[Fe/H],0.615,4.66,935.456,0.04391078214107519,3.7321247630546153,584.1288462024287,482.1622413166848,565.4573968285997,475.28697536563305,0.10286487575363883,0.11221128278932466,0.204378978021432
