,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityIndex_Earth,similarityIndex_Venus,similarityIndex_Mars,similarityIndex_Titan,similarityIndex_Arrakis
1769,TOI-201 b,TOI-201,0,0.3,11.299,133.4886,0.28,,759,6394,1.32,1.32,0.415,4.32,,32.6105003396449,24.9626667339315,33.1897120169683,33.0225041194839,421.383097596955,903.294584979906,387.054373083139,498.185901126204,9.06649621184056E-05,7.37731932881601E-05,4.23932351512097E-06,2.08621200726347E-07,4.47775175665496E-06
1736,K2-232 b,K2-232,0,0.10356,11.209,126.49634,0.258,,1030,6154,1.16,1.19,0.238,4.38,,48.3007955272097,36.9732647206184,49.1586905150815,48.9110318044572,624.128382688728,1337.90793135759,573.28265244288,737.884273292862,4.3253177586527E-05,3.61981175247783E-05,1.95135374634302E-06,8.49011036865046E-08,4.25089434192674E-06
1727,K2-232 b,K2-232,0,0.0991,11.859,123.00021,0.255,,1001,5888,1.23,1.04,0.216,4.27,,48.1928573030638,36.8906402319064,49.0488351452554,48.8017298797892,622.733637353146,1334.91809641584,572.001532520052,736.2353166408,4.35545146246273E-05,3.64412259842472E-05,1.96174734820467E-06,8.53503718893964E-08,4.22588943260826E-06
1761,HD 1397 b,HD 1397,0,0.1097,11.5,131.89945,0.251,356,1228,5521,2.34,1.32,0.66,3.82,,60.5604000652032,46.3577396346595,61.6360441226634,61.3255252081957,782.543312902265,1677.49285884494,718.792028235301,925.172480177137,2.47586024111921E-05,2.10242163411803E-05,1.09505085900021E-06,4.48874195665021E-08,3.60900485068722E-06
1609,TOI-1296 b,TOI-1296,0,0.0497,13.798,94.71287,0.055,,1562,5603,1.66,1.17,0.39,4.05,,78.8849260539888,60.3847870749351,80.2860413346311,79.8815647859329,1019.32733776321,2185.07308379079,936.286020807153,1205.11361561981,1.53650593175466E-05,1.32492954733288E-05,6.64391626037563E-07,2.56407504080311E-08,3.54477579854425E-06
1696,HD 1397 b,HD 1397,0,0.1003,11.467,116.64361,0.216,,1519,5474,2.34,1.26,0.635,3.79,,62.7262074726438,48.0156206226459,63.8403195366712,63.5186956069726,810.529226170705,1737.48464317436,744.498019237426,958.259206958507,2.16037512270142E-05,1.83816906027016E-05,9.53907319611555E-07,3.87974952566893E-08,3.46226581166457E-06
1779,KELT-6 b,KELT-6,0,0.07939,13.372,136.661,0.22,,1313,6102,1.58,1.08,0.493,4.07,,66.1812391154929,50.6603762245947,67.3567177532378,67.0173784076234,855.174108058313,1833.18729543099,785.505826311138,1011.04122607766,1.70697239895468E-05,1.45654557312513E-05,7.459332405929E-07,2.98972673088872E-08,2.88029193768722E-06
1707,Qatar-8 b,Qatar-8,0,0.0474,14.404,117.91493,0,,1457,5738,1.31,1.03,0.228,4.21,,70.6318540305161,54.0672303276495,71.8863823026795,71.524222762505,912.683618172261,1956.46710747619,838.330221761292,1079.0326269735,1.50854186793568E-05,1.29200597780435E-05,6.55296495043709E-07,2.5873558764042E-08,2.87017582645221E-06
1650,WASP-174 b,WASP-174,0,0.05503,16.107,104.88337,0,901.9,1528,6399,1.35,1.24,0.436,4.27,,77.0864296531321,59.0080751015165,78.4556009247542,78.0603460316175,996.087707076262,2135.2556310354,914.939648023059,1177.63824600569,1.27266050991937E-05,1.09530980545443E-05,5.48250963626795E-07,2.1229927449899E-08,2.79718344676828E-06
1947,HATS-10 b,HATS-10,0,0.04491,10.862,167.17858,0.501,,1407,5880,1.1,1.1,0.117,4.39,,61.415925853328,47.0126270147614,62.5067653393027,62.1918597804478,793.5981603569,1701.1904962217,728.94627285376,938.242224009786,1.76682076191232E-05,1.50112730144966E-05,7.81154103672137E-07,3.19386798380582E-08,2.70479482475131E-06
