Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,
Kepler-1972 c,Kepler-1972,0,,0.868,2.11,0.043,,,5818,1.38,1.12,0.294,4.2,
K2-3 c,K2-3,0,,,2.14,0,,,0.5,3896,0.56,,,4.73
Kepler-11 b,Kepler-11,0,,,2.18,0.026,,,5820,1.13,1.05,0.12,4.35,
Kepler-345 c,Kepler-345,0,,1.3,2.2,,,,,,0.7,,,
LTT 1445 A b,LTT 1445 A,0,0.03807,1.38,2.2,0.19,,433,3337,0.28,0.26,,4.97,
TOI-1266 c,TOI-1266,0,0.1058,1.56,2.2,0.04,2.3,344,3600,0.42,0.45,,4.85,
HD 158259 b,HD 158259,0,,,2.22,,,,,1.21,1.08,,,
L 98-59 c,L 98-59,0,0.0304,1.385,2.22,0.103,12.8,553,3415,0.3,0.27,-1.948,4.86,
KOI-1831 d,Kepler-324,0,,1.13,2.23,,,475,5233,0.83,0.9,,,
Kepler-11 f,Kepler-11,0,0.25,2.61,2.3,0,,,5680,1.1,0.95,,4.3,
Kepler-51 b,Kepler-51,0,,8.6,2.3,,,,,,1.1,,,
GJ 3323 c,GJ 3323,0,0.1264,,2.31,0.17,0.17,,3159,0.12,0.16,-2.569,,
L 98-59 d,L 98-59,0,0.0506,1.57,2.31,0.09,,409,3412,0.31,0.31,,4.94,
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,0,0.883,,2.32,,,,,,0.15,,,
LHS 1478 b,LHS 1478,0,0.01848,1.242,2.33,,,595,3381,0.25,0.24,-2.146,4.87,
LTT 3780 b,LTT 3780,0,0.01203,1.35,2.34,0.064,116,1000,3360,0.38,0.38,-1.777,4.81,
GJ 9827 d,GJ 9827,0,0.0611,2.04,2.35,,29,646,4219,0.62,0.64,,4.66,
HD 20794 c,HD 20794,0,0.2036,,2.4,0,,508,5401,,0.7,,4.22,
Kepler-65 b,Kepler-65,0,,1.444,2.4,0.028,,,,1.44,1.25,,,
GJ 9827 c,GJ 9827,0,0.03942,1.269,2.42,,72,811,4269,0.61,0.61,,4.65,
L 98-59 c,L 98-59,0,0.0317,1.35,2.42,0.07,,517,3412,0.31,0.31,,4.94,
GJ 3998 b,GJ 3998,0,0.029,,2.47,0,,,3722,0.49,0.5,-1.387,4.77,
K2-229 b,K2-229,0,,1.197,2.49,,,,5185,0.78,0.8,,4.56,
G 264-012 b,G 264-012,0,0.02279,,2.5,,20.5,587,3326,0.3,0.3,-1.972,4.85,
GJ 1151 b,GJ 1151,0,0.01735,,2.5,0,,,,,,,,
Kepler-11 f,Kepler-11,0,,2.37,2.5,,,,,1.05,0.92,,,
OGLE-2019-BLG-0960L b,OGLE-2019-BLG-0960L,0,1.9,,2.5,,,,,,0.5,,,
TOI-1064 c,TOI-1064,0,0.09429,2.651,2.5,0.088,26.8,634,4734,0.73,0.75,-0.623,4.6,
HD 20794 c,HD 20794,0,0.225,,2.52,0.17,,,,,0.81,,,
DMPP-3 A b,DMPP-3 A,0,0.0662,,2.58,0,,854,,,,,,
DMPP-3 A b,DMPP-3 A,0,0.0662,,2.58,0.14,,854,5138,0.91,0.87,,4.3,
K2-229 b,K2-229,0,0.012888,1.164,2.59,0,,1960,5185,0.79,0.84,,4.56,
Kepler-93 b,Kepler-93,0,,1.5,2.59,,,,5669,0.92,0.91,,4.47,
Kepler-102 d,Kepler-102,0,,1.17,2.6,,,,,0.76,0.73,,,
LTT 3780 b,LTT 3780,0,0.01211,1.332,2.62,0,106,892,3331,0.37,0.4,,4.9,
GJ 1132 c,GJ 1132,0,0.0476,,2.64,0.27,,300,3270,0.21,0.18,-2.359,,
GJ 411 b,GJ 411,0,0.0789,,2.69,0.12,3.13,370,3601,0.39,0.39,-1.71,4.87,
GJ 411 b,GJ 411,0,0.07879,,2.69,0.063,,,3719,0.37,0.39,,4.89,
GJ 667 C e,GJ 667 C,1,0.213,,2.7,0.02,,,3350,,0.33,-1.863,4.69,
GJ 667 C f,GJ 667 C,1,0.156,,2.7,0.03,,,3350,,0.33,-1.863,4.69,
HD 20794 b,HD 20794,0,0.1207,,2.7,0,,660,5401,,0.7,,4.22,
Kepler-359 d,Kepler-359,0,,4.6,2.7,,,,,,1.1,,,
Kepler-406 c,Kepler-406,0,,0.85,2.71,,,,5538,1.07,1.07,,4.41,
HD 219134 c,HD 219134,0,0.064,,2.78,0.08,,,4699,0.78,0.78,-0.577,4.63,
Kepler-114 c,Kepler-114,0,,1.6,2.8,,,,,0.54,0.56,,4.72,
PSR B1257+12 d,PSR B1257+12,0,0.47,,2.8,0.02,,,,,,,,
PSR B1257+12 d,PSR B1257+12,0,0.47,,2.8,0.0264,,,,,,,,
K2-3 d,K2-3,0,,,2.80007,0,,,0.5,3896,0.56,,,4.73
HD 215152 d,HD 215152,0,0.08799,,2.801,0,,,4935,0.73,0.77,,4.4,
GJ 411 b,GJ 411,0,0.07892,,2.80325,0.095,,,3719.95,0.37,0.39,,4.9,
KMT-2021-BLG-0912L b,KMT-2021-BLG-0912L,0,3.14,,2.81,,,,,,0.8,,,
