Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,
kap CrB b,kap CrB,0,2.65,,575.59013,0.167,,,4871,4.85,1.5,,3.26,
HD 12661 c,HD 12661,0,2.8145,,575.884,0.031,,,5748,1.11,1.02,0.063,,
HD 160691 c,HD 160691,0,5.235,,576.519,0.0985,,,,,1.08,,,
HD 187123 c,HD 187123,0,4.417,,577.791,0.28,,,5790,1.15,1.04,0.127,4.33,
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,0,0.86,,578,,,,,,0.02,,,
HD 9446 c,HD 9446,0,0.654,,578.426,0.06,,,5793,1,1,0.041,4.53,
HD 4203 b,HD 4203,0,1.1735,,578.43,0.52,,,5582,1.5,0.99,0.293,4.08,
HD 45350 b,HD 45350,0,1.92,,578.43,0.764,,,,,1.02,,,
HAT-P-54 b,HAT-P-54,0,0.04122,10.581,578.4506,0.66,,,4390,0.62,0.65,,,
HD 216437 b,HD 216437,0,2.32,,578.4506,0.29,,,5887,,1.06,0.35,4.3,
HD 45350 b,HD 45350,0,1.958,,578.76553,0.794,,,5607.78,1.26,1.05,,4.26,
HD 4203 b,HD 4203,0,1.177,,579.08336,0.513,,,5625.06,1.5,1.14,,4.15,
HD 12661 c,HD 12661,0,2.86,,581.6,0.017,,,5655,1.21,1,0.133,4.27,
HD 128311 b,HD 128311,0,,,581.6,0.3,,,,,0.83,,,
HAT-P-36 b,HAT-P-36,0,0.0238,14.168,582.24,0.063,,1823,5560,1.1,1.02,0.013,,
Kepler-117 c,Kepler-117,0,0.2804,12.341,584.78,0.0323,,704,6150,1.61,1.13,,4.1,
HAT-P-7 b,HAT-P-7,0,,16.926,584.8072,0,,,6389,2,1.56,,4.07,
HD 82943 b,HD 82943,0,1.18,,584.8072,0.18,,,6005,,1.15,0.18,4.45,
Pr0211 b,Pr0211,0,,,586.07852,0,,,5326,0.87,0.95,,,
HAT-P-36 b,HAT-P-36,0,0.0241,14.314,587.41341,,,1781,5620,1.04,1.03,,,
HD 200964 b,HD 200964,0,1.601,,587.96,0.04,,,5164,4.3,1.44,1.064,3.6,
gam Cep b,gam Cep,0,2.05,,587.96,0.049,,,,4.9,1.4,,,
7 CMa b,7 CMa,0,1.758,,587.9855,0.06,,,4826,4.87,1.34,1.063,3.19,
HAT-P-36 b,HAT-P-36,0,0.02382,14.168,587.9855,0.059,,,5560,1.1,1.02,,,
HAT-P-57 b,HAT-P-57,0,0.0406,15.838,587.9855,0,,2200,7500,1.5,1.47,0.806,4.25,
HD 70642 b,HD 70642,0,3.18,,587.9855,0.03,,,5665,1.02,0.96,,4.4,
HD 82943 c,HD 82943,0,0.75,,587.9855,0.38,,,6005,,1.15,0.18,4.45,
K2-114 b,K2-114,0,0.09309,10.559,587.9855,0,,719,5027,0.83,0.83,,4.48,
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,0,0.87,,588,,,,,,0.02,,,
HAT-P-36 b,HAT-P-36,0,0.02388,14.617,588.62116,,,1788,5620,1.04,1.03,,4.42,
GJ 317 b,GJ 317,0,1.18,,588.93604,0.098,,,3492.73,0.43,0.45,,4.82,
HATS-1 b,HATS-1,0,0.0444,14.594,589.55,0.12,,1359,5870,1.04,0.99,0.041,,
HD 12661 c,HD 12661,0,2.861,,589.57169,0.025,,,5661.18,1.2,1.08,,4.32,
K2-31 b,K2-31,0,,,590.1,0,,,5412,0.99,1,,4.44,
HD 68988 b,HD 68988,0,0.0704,,591,0.1249,,,5960,,1.18,,4.41,
HD 74156 b,HD 74156,0,0.294,,591.14,0.636,,,6105,,1.27,0.49,4.4,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,0,,,591.16084,0.33,,,29564,0.2,0.48,,5.51,
HD 47366 c,HD 47366,0,1.853,,591.1638,0.278,,,4866,7.3,1.81,1.417,2.97,
kap CrB b,kap CrB,0,2.6,,591.1638,0.073,,,4871,4.84,,,,
kap CrB b,kap CrB,0,2.7,,591.1638,0.146,,,4871,4.84,,,,
HD 202696 c,HD 202696,0,2.342,,592.43512,0.028,,,5040,6.43,1.91,1.369,3.11,
HD 152581 b,HD 152581,0,1.66,,594.02427,0.04,,,5027,5.14,1.3,,3.29,
HD 117207 b,HD 117207,0,3.744,,594.33912,0.142,,,5634.75,1.13,1.02,,4.34,
WASP-163 b,WASP-163,0,0.0266,13.473,594.3421,,1200,1638,5500,1.01,0.97,-0.076,4.41,
HD 117207 b,HD 117207,0,3.79,,597,0.144,,,5724,,1.08,,4.51,
HD 13931 b,HD 13931,0,5.15,,597,0.02,,,5829,1.23,1.02,0.196,4.3,
WASP-73 b,WASP-73,0,0.05517,13.002,597.20257,0.017,,,6030,2.07,1.34,,,
WASP-73 b,WASP-73,0,0.05512,13.002,597.5,0,,1790,6036,2.07,1.34,0.716,3.93,
HATS-42 b,HATS-42,0,0.03689,15.693,597.5204,0.229,,1856,6060,1.48,1.27,0.425,4.2,
HD 47366 c,HD 47366,0,1.97,,597.5204,0.1,,,4914,6.2,2.19,1.389,3.1,
Pr0211 b,Pr0211,0,0.03176,,597.5204,0.011,,,5300,0.83,0.94,,4.51,
Qatar-7 b,Qatar-7,0,0.0352,19.055,597.5204,0,,2053,6387,1.56,1.41,0.563,4.2,
GJ 876 b,GJ 876,0,0.208,,600.67,0.1,,,3271,0.35,0.34,-1.893,4.87,
WASP-3 b,WASP-3,0,0.03182,15.872,600.6987,0.0058,,,6400,1.37,1.26,,,
HD 145457 b,HD 145457,0,0.61,,600.7,,,,,,1,,,
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,0,0.89,,601,,,,,,0.02,,,
TrES-3 b,TrES-3,0,0.02276,14.684,603.55917,,,1638,5650,0.82,0.92,,4.57,
HD 190647 b,HD 190647,0,2.07,,603.85,0.18,,,5628,,1.1,0.297,4.18,
HD 222155 b,HD 222155,0,5.1,,603.85,0.16,,,5765,1.67,1.13,,4.1,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,0,0.92,,603.877,,,,,,0.48,,,
HAT-P-56 b,HAT-P-56,0,0.04232,16.432,603.877,0.29,,,6566,1.43,1.3,,,
HD 117207 b,HD 117207,0,,,603.877,0.15,,,,,1.03,,,
HD 210702 b,HD 210702,0,1.2,,603.877,0.094,,,4967,5.1,1.68,1.149,,
K2-77 b,K2-77,0,,2.3,603.877,0.14,58,,4970,0.76,0.8,-0.5,4.47,
WASP-135 b,WASP-135,0,0.0243,14.572,603.877,0,,,5675,0.96,0.98,,4.47,
WASP-46 b,WASP-46,0,0.02334,13.159,603.877,0.022,,,5600,0.86,0.83,,,
HD 142245 b,HD 142245,0,2.77,,603.9,0.09,,,4878,5.2,1.69,1.13,3.3,
HD 159243 c,HD 159243,0,0.8,,603.9,0.075,,,6123,1.12,1.12,0.114,4.55,
HD 68988 b,HD 68988,0,0.071,,604,0.14,,,,,1.2,,,
WASP-106 b,WASP-106,0,0.0917,12.162,606.73747,0.046,,,6000,1.39,1.19,,,
TrES-3 b,TrES-3,0,0.02282,14.975,607.03,0,,,5650,0.83,0.93,-0.204,,
TrES-3 b,TrES-3,0,,14.796,607.03,0,,,,0.82,0.93,,,
TrES-3 b,TrES-3,0,0.02283,14.628,607.0553,,,1630,5650,0.82,0.93,,4.58,
WASP-46 b,WASP-46,0,0.02335,13.159,607.0553,,,1636,5600,0.86,0.83,,4.49,
HD 13931 b,HD 13931,0,5.323,,607.37009,0.02,,,5805.45,1.3,1.02,,4.21,
HD 68988 b,HD 68988,0,0.0702,,608.32357,0.1581,,,5883.41,1.26,1.17,,4.31,
HD 12661 c,HD 12661,0,2.9,,610,0.031,,,5655,1.21,1,0.133,4.27,
HD 13931 b,HD 13931,0,,,610.2336,0.033,,,,,1.02,,,
TrES-3 b,TrES-3,0,0.0226,14.516,610.2336,,,,5720,0.8,0.9,,4.6,
ups And c,ups And,0,0.832,,610.2336,0.224,,,6105.51,1.64,1.15,0.525,4.07,
WASP-106 b,WASP-106,0,0.0917,12.162,611.797,0,,1140,6055,1.39,1.19,,4.23,
HAT-P-36 b,HAT-P-36,0,0.02402,15.211,611.82275,0.063,1821,1820,5560,1.11,1.05,0.022,4.37,
HD 117207 b,HD 117207,0,3.787,,612.14058,0.157,,,5732,1.07,1.05,,4.37,
HD 4313 b,HD 4313,0,1.157,,612.45841,0.147,,,4943,5.14,1.63,,3.24,
KOI-3680 b,KOI-3680,0,0.534,11.097,613.4119,0.496,,347,5830,0.96,1.01,,4.47,
TrES-3 b,TrES-3,0,0.02272,14.706,615.95454,,,1623,5650,0.81,0.92,-0.228,4.58,
HD 5319 b,HD 5319,0,1.75,,616.56,0.12,,,5052,3.26,1.56,0.663,3.57,
HIP 114933 b,HIP 114933,0,2.84,,616.58711,0.21,,,4823,5.27,1.39,1.14,2.99,
HAT-P-15 b,HAT-P-15,0,,11.882,616.5902,0.19,,,5568,1.07,1,,4.38,
HD 190647 b,HD 190647,0,2.07,,616.5902,0.18,,,5640,1.45,1.14,,4.17,
KELT-3 b,KELT-3,0,,17.486,616.5902,0,,,6304,1.7,1.96,,4.2,
TIC 237913194 b,TIC 237913194,0,0.1207,12.52,617.22586,0.575,,974,5788,1.09,1.03,0.078,4.38,
WASP-3 b,WASP-3,0,,,617.86152,0.0066,,,,,1.2,,,
HAT-P-15 b,HAT-P-15,0,0.0964,12.016,618.471,0.19,,904,5568,1.08,1.01,0,4.38,
HAT-P-15 b,HAT-P-15,0,0.0965,12.016,619.45067,0.2,,,5568,1.08,1.01,,,
HD 20782 b,HD 20782,0,1.37,,619.7685,0.97,,,5790,1.11,1.07,,4.38,
HD 82943 c,HD 82943,0,0.74345,,622.603,0.3663,,,5935,1.18,1.08,0.194,4.33,
HIP 90988 b,HIP 90988,0,1.26,,622.94368,0.08,,,4883,3.94,1.3,0.89,3.32,
KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,0,2.04,,622.94368,,,,,,0.65,,,
HD 12648 b,HD 12648,0,0.54,,622.9468,0.04,,,4835,11.02,0.67,,2.18,
HD 33844 b,HD 33844,0,1.6,,622.9468,0.15,,,4861,5.29,1.78,1.149,3.24,
HD 98219 b,HD 98219,0,1.26,,624.21812,0.079,,,4925,4.6,1.41,,3.36,
ups And c,ups And,0,0.8265,,624.53282,0.266,,,6156.77,1.62,1.29,,4.13,
HD 70642 b,HD 70642,0,3.23,,626,0.034,,,5706,,1.05,,4.43,
HAT-P-23 b,HAT-P-23,0,0.0232,15.334,626.1251,0.052,,,5905,1.2,1.13,,,
HD 160691 b,HD 160691,0,1.65,,626.1251,0.62,,,,,1.08,,,
HD 210702 b,HD 210702,0,1.2,,626.1251,0.106,,,,,1.85,,,
HD 68988 b,HD 68988,0,0.07,,626.1251,0.12,,,5932,1.19,1.28,,4.4,
HATS-18 b,HATS-18,0,0.0174,14.897,629.14449,,,2069,5600,1.02,1.04,,,
HD 171028 b,HD 171028,0,1.32,,629.28,0.59,,,,,,,,
ups And c,ups And,0,0.83,,629.28,0.254,,,,,,,,
HATS-18 b,HATS-18,0,0.01761,14.986,629.3034,0.166,2990,2060,5600,1.02,1.04,-0.032,4.44,
HIP 107773 b,HIP 107773,0,0.72,,629.3034,0.09,,,4945,11.6,2.42,1.87,2.6,
WASP-3 b,WASP-3,0,0.0315,15.693,629.3034,0.003,,,6400,1.36,1.23,,4.26,
ups And c,ups And,0,0.827774,,629.595,0.2596,,,,1.56,1.3,,,
HD 190647 b,HD 190647,0,2.231,,630.89255,0.224,,,5656,1.38,1.07,,4.16,
24 Sex b,24 Sex,0,1.333,,632.46,0.09,,,5098,4.9,1.54,1.164,3.5,
HD 187123 c,HD 187123,0,4.89,,632.46,0.252,,,5790,1.15,1.04,0.127,4.33,
HD 20868 b,HD 20868,0,0.947,,632.46,0.75,,,4795,0.79,0.78,-0.529,4.22,
WASP-189 b,WASP-189,0,0.05053,18.147,632.47853,0,,3353,8000,2.36,2.03,,3.9,
HD 70642 b,HD 70642,0,3.318,,633.43519,0.175,,,5732,0.98,1.08,,4.46,
HD 202696 b,HD 202696,0,1.566,,634.38868,0.011,,,5040,6.43,1.91,1.369,3.11,
HD 164604 b,HD 164604,0,1.331,,635,0.35,,,4684,,0.77,,,
WASP-43 b,WASP-43,0,0.01504,11.276,635.02434,0,,1427,4500,0.65,0.69,,4.5,
HD 89307 b,HD 89307,0,3.34,,635.6,0.25,,,,,1.03,,,
Kepler-76 b,Kepler-76,0,,14.01,635.63,0,,,6409,1.32,1.2,,4.2,
HD 136418 b,HD 136418,0,1.32,,635.633,0.255,,,5071,3.4,1.33,0.833,3.6,
HD 128311 b,HD 128311,0,1.088,,635.65681,0.283,,,4931.94,0.78,0.84,,4.57,
KIC 10068024 b,KIC 10068024,0,,,635.65681,,,,6118.4,1.57,1.22,,4.09,
OGLE-2005-BLG-071L b,OGLE-2005-BLG-071L,0,,,635.65681,,,,,,0.29,,,
OGLE-2005-BLG-071L b,OGLE-2005-BLG-071L,0,,,635.65681,,,,,,0.29,,,
51 Eri b,51 Eri,0,13.2,,635.66,,,700,,,1.75,0.85,,
GJ 317 c,GJ 317,0,25,,635.66,0.81,,,3510,,0.42,,,
HD 155233 b,HD 155233,0,2.07,,635.66,0.03,,,4845,5.03,1.5,1.1,3.21,
Kepler-76 b,Kepler-76,0,0.0278,14.011,635.66,0.078,,,6409,1.32,1.2,,,
PDS 70 c,PDS 70,0,34,22.866,635.66,0.11,,995,3972,,,,,
kap CrB b,kap CrB,0,2.8,,635.66,0.044,,,4788,5.06,1.47,1.084,,
Kepler-47 b,Kepler-47,0,0.2962,3.03,636,0.035,,,5636,0.96,1.05,-0.076,4.49,
K2-114 b,K2-114,0,0.0943,10.447,638.8351,0.081,40,701,4920,0.82,0.86,-0.445,4.54,
6 Lyn b,6 Lyn,0,2.11,,638.8383,0.073,,,4938,5.2,1.44,,3.19,
HD 33844 b,HD 33844,0,1.6,,638.8383,0.15,,,4861,5.39,1.84,,3.24,
Kepler-76 b,Kepler-76,0,0.0274,15.244,638.8383,,,2140,6409,1.32,1.2,,4.2,
WASP-100 b,WASP-100,0,0.04574,18.943,638.8383,0.044,,,6900,2,1.57,,,
WASP-12 b,WASP-12,0,0.0235,20.849,638.8383,0.0447,,2483,6300,,,,4.38,
kap CrB b,kap CrB,0,2.8,,638.8383,0.123,,,,,1.84,,,
HD 82943 c,HD 82943,0,0.747,,639,0.359,,,5935,1.18,1.08,0.194,4.33,
HD 70642 b,HD 70642,0,3.3,,640,0.1,,,5670,,1,,,
KMT-2017-BLG-1038L b,KMT-2017-BLG-1038L,0,1.8,,640,,,,,,0.37,,,
Kepler-30 c,Kepler-30,0,0.3,12.3,640,0.0111,,,5498,0.95,0.99,,4.77,
xi Aql b,xi Aql,0,0.58,,642,,,,,,1.4,,,
WASP-100 b,WASP-100,0,0.0457,18.94,645.17,0,,2190,6900,,1.57,,4.04,
HD 65216 c,HD 65216,0,5.75,,645.1949,0.17,,,5612,,0.87,,4.44,
HD 8574 b,HD 8574,0,0.76,,645.1949,0.3,,,6064,1.38,1.34,,4.28,
WASP-100 b,WASP-100,0,,18.943,645.1949,0,,,,2,1.57,,,
WASP-3 b,WASP-3,0,0.03185,15.872,645.1949,,,2020,6400,1.37,1.26,,4.27,
HD 173416 b,HD 173416,0,1,,645.2,,,,,,1.3,,,
HD 206610 b,HD 206610,0,1.74,,647.10188,0.1,,,4842,6.12,1.55,,3.22,
HD 145934 b,HD 145934,0,4.73,,648.36995,0.057,,,4823.75,6.93,1.81,,3.01,
Kepler-5 b,Kepler-5,0,0.04967,13.563,648.3732,,,1692,6297,1.54,1.3,,4.17,
HAT-P-15 b,HAT-P-15,0,,,649.32669,0.208,,,,,1.01,,,
WASP-43 b,WASP-43,0,0.01528,11.613,651.5515,0.0062,,,4400,0.67,0.72,,,
WASP-61 b,WASP-61,0,0.05146,13.899,651.5515,0.074,,,6250,1.36,1.22,,,
WASP-61 b,WASP-61,0,0.0514,13.899,654.702,0.26,,,6320,1.36,1.22,,,
HD 117207 b,HD 117207,0,3.78,,654.7298,0.16,,,5723,,1.04,,4.51,
WASP-3 b,WASP-3,0,0.03187,16.298,654.7298,,,2028,6400,1.38,1.26,,4.26,
WASP-61 b,WASP-61,0,0.0521,13.563,654.7298,0,,1624,6250,1.39,1.27,,4.26,
Kepler-48 e,Kepler-48,0,,,657,,,,5194,0.89,0.88,,4.49,
HD 4203 b,HD 4203,0,1.164,,657.9,0.519,,,5702,,1.13,,4.36,
Kepler-40 b,Kepler-40,0,0.0804,16.141,657.9081,0.15,,,6510,2.48,1.46,,,
HAT-P-23 b,HAT-P-23,0,0.02302,13.72,658,0,,1951,5885,1.09,1.1,,4.41,
HD 89307 b,HD 89307,0,3.3632,,659.152,0.25,,,5906,1.01,1.05,0.113,,
HAT-P-23 b,HAT-P-23,0,0.0232,15.334,664.237,0.106,,2056,5905,1.2,1.13,0.199,4.33,
KMT-2017-BLG-2509L b,KMT-2017-BLG-2509L,0,2.14,,664.26137,,,,,,0.46,,,
HAT-P-23 b,HAT-P-23,0,,15.356,664.2647,0.106,,,5905,,,,,
WASP-33 b,WASP-33,0,0.0239,17.856,665.21819,,,2782,7430,1.44,1.5,,,
HD 192699 b,HD 192699,0,1.063,,666.17168,0.082,,,5041,4.41,1.38,,3.25,
HD 116029 b,HD 116029,0,1.78,,667.4,0.054,,,4951,4.6,1.58,1.053,3.4,
HD 217107 c,HD 217107,0,4.3,,667.4,0.55,,,,,1.05,,,
HD 10442 b,HD 10442,0,2.335,,667.41,0.11,,,5034,,1.56,,3.5,
HD 159868 b,HD 159868,0,2.25,,667.41,0.01,,,5558,,1.09,,3.99,
HIP 79431 b,HIP 79431,0,0.36,,667.415,0.29,,,3191,,0.49,,,
KIC 8121913 b,KIC 8121913,0,,,667.43965,,,,5975.3,2.23,1.46,,3.9,
HD 216437 b,HD 216437,0,2.4,,667.443,0.33,,,,,1.15,,,
kap CrB b,kap CrB,0,2.8,,667.443,0.125,,,4871,4.84,,,,
WASP-46 b,WASP-46,0,0.02448,14.684,667.733,0,,,5620,0.92,0.96,,,
GJ 876 b,GJ 876,0,0.21,,670.59,0.27,,,3271,0.35,0.34,-1.893,4.87,
HD 30856 b,HD 30856,0,2.04,,670.6213,0.12,,,4971,4.73,1.65,,3.31,
HD 8574 b,HD 8574,0,0.77,,670.6213,0.288,,,6031,1.41,1.12,0.376,4.19,
HD 89307 b,HD 89307,0,3.27,,670.6213,0.2,,,5955,1.1,1.27,,4.46,
Kepler-5 b,Kepler-5,0,0.0538,15.984,670.93913,,,1750,6297,1.79,1.37,,3.96,
Kepler-5 b,Kepler-5,0,0.05064,16.04,671.864,0.024,,1868,6297,1.79,1.37,0.669,4.07,
GJ 876 b,GJ 876,0,0.2177,,672.20708,0.002,,,3293.74,0.37,0.37,,4.87,
HD 22532 b,HD 22532,0,1.9,,673.79622,0.03,,,5038,5.69,1.57,1.274,3.09,
HD 222155 b,HD 222155,0,5.14,,673.7996,0.16,,,5701,1.85,1.21,,3.99,
Kepler-40 b,Kepler-40,0,0.0795,14.235,673.7996,,,1666,6510,2.24,1.42,,3.89,
HD 147018 b,HD 147018,0,0.2388,,674,0.4686,,,5441,,0.93,,4.42,
Kepler-5 b,Kepler-5,0,0.05071,16.04,675.70658,0.043,,,6297,1.79,1.37,,,
HR 810 b,HR 810,0,0.91,,676.9779,0.15,,,,,1.03,,,
WASP-164 b,WASP-164,0,0.02818,12.644,676.9779,0,,1610,5806,0.93,0.95,,,
HD 118203 b,HD 118203,0,0.07,,677,0.309,,,5600,,1.23,,3.87,
WASP-53 b,WASP-53,0,0.04101,12.038,677.61356,0.03,,1053,4953,0.8,0.84,-0.463,4.55,
WASP-8 b,WASP-8,0,0.0801,11.635,677.61356,0.3057,,,5600,0.94,1.03,,,
HD 136418 b,HD 136418,0,1.29,,680.1562,0.25,,,4989,3.78,1.48,,3.45,
HAT-P-22 b,HAT-P-22,0,0.0414,12.106,682.352,0.016,,1283,5302,1.04,0.92,-0.114,4.36,
HAT-P-31 b,HAT-P-31,0,0.061,11.994,682.38101,0.2617,,,6070,1.36,1.22,,,
HAT-P-22 b,HAT-P-22,0,0.0414,12.106,682.69884,0.016,,1463,5302,,,,4.36,
Kepler-323 b,Kepler-323,0,,1.67,684.4,,,,,1.38,1.12,,,
HAT-P-22 b,HAT-P-22,0,,,685.55931,0.0064,,,,,0.92,,,
HD 163607 c,HD 163607,0,2.38,,686.5128,0.076,,,5522,1.76,1.12,0.42,,
Kepler-40 b,Kepler-40,0,0.0802,16.141,686.5128,,,1744,6510,2.48,1.46,,3.81,
NGTS-10 b,NGTS-10,0,0.0143,13.507,687.14846,0,,1332,4600,0.7,0.7,,4.59,
HD 4203 c,HD 4203,0,6.95,,689.66,0.24,,,5582,1.5,0.99,0.293,4.08,
HATS-15 b,HATS-15,0,0.02712,12.386,689.6911,0.126,,1505,5311,0.92,0.87,-0.204,4.45,
HD 37605 b,HD 37605,0,0.28,,689.6911,0.68,,,5340,0.95,0.68,,4.32,
kap CrB b,kap CrB,0,2.8,,689.6911,0.125,,,4871,4.84,,,,
HAT-P-31 b,HAT-P-31,0,0.055,11.99,689.98,0.245,,1450,6065,1.36,1.22,0.348,,
HAT-P-22 b,HAT-P-22,0,0.04142,12.106,690.32676,0.002,,,5302,1.04,0.92,,,
HD 12661 b,HD 12661,0,0.8079,,691.569,0.3768,,,5748,1.11,1.02,0.063,,
HD 128311 b,HD 128311,0,1.099,,692.84,0.25,,,,,0.84,,,
HAT-P-56 b,HAT-P-56,0,0.0423,16.432,692.8694,0.246,,1840,6566,1.43,1.3,,4.24,
HD 152079 b,HD 152079,0,3.98,,692.8694,0.52,,,5726,1.15,1.1,0.107,4.36,
NGC 2682 Sand 978 b,NGC 2682 Sand 978,0,,,692.8694,0.16,,,4200,,1.37,,1.8,
WASP-87 b,WASP-87,0,0.02946,15.524,692.8694,0,,,6450,1.63,1.2,,,
HAT-P-22 b,HAT-P-22,0,0.04171,11.882,696.68336,,,1293,5314,1.06,0.94,,4.36,
HD 180053 b,HD 180053,0,0.843,,697.31902,0.081,,,5131,4.06,1.75,,3.54,
HD 206610 b,HD 206610,0,1.68,,699.197,0.229,,,4874,6.1,1.56,1.276,3.3,
HD 131496 b,HD 131496,0,2.09,,699.2,0.163,,,4927,4.3,1.61,0.991,3.3,
Kepler-40 b,Kepler-40,0,0.08,13.11,699.2,0,,1620,6510,2.13,1.48,,3.94,
WASP-8 b,WASP-8,0,0.08,11.2,699.2,0.3,,950,5600,,,,,
HAT-P-49 b,HAT-P-49,0,,17.822,699.226,0,,,6820,2.06,2.22,,4.1,
HD 13931 b,HD 13931,0,5.15,,699.226,0.02,,,5867,1.25,1.3,,4.36,
HD 98219 b,HD 98219,0,1.32,,699.226,0,,,4946,3.85,1.71,,3.5,
HD 163607 c,HD 163607,0,2.39,,699.54383,0.08,,,5522,1.76,1.12,,3.97,
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,0,3.5,,700,,,,,,0.49,,,
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,0,3.5,,700,,,,,,0.49,,,
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,0,3.6,,700,,,,,,0.48,,,
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,0,3.5,,700,,,,,,0.49,,,
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,0,2.7,,700,,,,,,0.51,,,
6 Lyn b,6 Lyn,0,2.18,,702.4043,0.125,,,,5.2,1.82,,,
HD 159868 b,HD 159868,0,2.32,,704.94694,0.024,,,5534,2.13,1.19,,3.92,
KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,0,3.54,,705.57906,,,,,,0.65,,,
CoRoT-21 b,CoRoT-21,0,0.0416,14.572,705.5826,0.39,,,6200,1.95,1.29,,,
WASP-71 b,WASP-71,0,0.04622,16.365,706.21826,0.019,,,6050,2.26,1.56,,,
HD 216437 b,HD 216437,0,2.497,,706.53609,0.317,,,5909,1.39,1.17,,4.19,
HAT-P-31 b,HAT-P-31,0,,,707.80741,0.2419,,,,,1.22,,,
HD 145457 b,HD 145457,0,0.76,,708.7609,0.11,,,4769,10.52,1.23,,2.48,
HD 4203 b,HD 4203,0,1.17,,708.7609,0.52,,,5596,1.42,1.25,,4.23,
HAT-P-14 b,HAT-P-14,0,0.0606,12.89,709.367,0.107,,1570,6600,1.47,1.39,0.563,4.25,
HAT-P-14 b,HAT-P-14,0,,12.801,709.39656,0.107,,,,1.47,1.39,,,
HD 154857 b,HD 154857,0,1.291,,711.91,0.46,,,5605,1.76,1.72,,3.82,
HATS-52 b,HATS-52,0,0.02498,15.491,711.9392,0.246,,1834,6010,1.05,1.11,0.068,4.45,
HD 131496 b,HD 131496,0,2.11,,711.9392,0.16,,,4886,5.54,1.62,,3.16,
WASP-8 b,WASP-8,0,,,711.9392,0.3044,,,,,1.04,,,
WASP-71 b,WASP-71,0,0.04619,16.37,712.545,0,,2049,6059,2.26,1.56,,3.92,
WASP-8 b,WASP-8,0,0.0801,11.635,713.18,0.31,,,5600,0.94,1.03,,,
HD 73526 b,HD 73526,0,0.65,,715.09,0.29,,,,,1.01,,,
HD 73526 c,HD 73526,0,1.03,,715.09,0.28,,,,,1.01,,,
ups And c,ups And,0,0.821,,715.09,0.185,,,,,,,,
CoRoT-21 b,CoRoT-21,0,0.0417,14.572,718.2958,0,,,6200,1.95,1.29,,3.7,
HATS-24 b,HATS-24,0,0.0238,15.637,718.2958,0,,2166,6125,1.12,1.07,0.19,4.37,
HR 810 b,HR 810,0,0.925,,718.2958,0.161,,,,,1.03,,,
HAT-P-31 b,HAT-P-31,0,,12.218,721.4741,0.25,,,6065,1.39,1.31,,4.26,
HD 200964 b,HD 200964,0,1.64,,721.4741,0.04,,,5079,4.69,1.97,,3.39,
HR 810 b,HR 810,0,0.92,,721.4741,0.14,,,6167,1.13,1.34,,4.46,
HAT-P-14 b,HAT-P-14,0,0.06108,13.664,721.79193,,,1624,6600,1.59,1.42,,4.19,
GJ 876 b,GJ 876,0,0.208317,,723.2235,0.0324,,,,0.3,0.32,-1.907,,
HD 145934 b,HD 145934,0,4.6,,724.62,0.053,,,,5.38,1.75,,3.23,
NN Ser d,NN Ser,0,3.39,,724.622,,,,57000,,0.54,,,
HAT-P-14 b,HAT-P-14,0,0.0596,13.451,724.6524,0.066,,1612,6583,1.53,1.32,0.592,4.1,
HD 152581 b,HD 152581,0,1.49,,724.6524,0,,,5095,4.8,1.72,,3.31,
HD 12661 b,HD 12661,0,0.824,,725.60225,0.3597,,,5661.18,1.2,1.08,,4.32,
WASP-36 b,WASP-36,0,0.02643,14.359,726.55938,0,,1724,5880,,,,4.5,
HD 163607 c,HD 163607,0,2.42,,727.8,0.12,,,5543,1.63,1.09,0.362,4.04,
WASP-77 A b,WASP-77 A,0,,15.468,727.8307,0,,,5365,1.09,1.49,,4.33,
HD 87883 b,HD 87883,0,4.072,,728.46271,0.7121,,,4989.41,0.8,0.83,,4.55,
WASP-36 b,WASP-36,0,0.02641,14.908,729.41985,,,,,0.96,,,4.49,
WASP-36 b,WASP-36,0,0.02643,14.359,729.73768,0.019,,,5900,0.95,1.04,,,
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,0,2.6,,730,,,,,,0.6,,,
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,0,2.7,,730,,,,,,0.53,,,
HD 212771 b,HD 212771,0,1.22,,730.978,0.111,,,5121,5,1.15,1.188,3.5,
HD 4313 b,HD 4313,0,1.19,,730.978,0.041,,,5035,4.9,1.72,1.149,3.4,
