Name,starName,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance
WASP-94 A b,WASP-94 A,0,3.9501907,0.055,19.28,143.653,6153,1.62,211.211
WASP-94 A b,WASP-94 A,0,3.9501907,0.0554,19.279,144.93048,6153,1.62,211.211
WASP-95 b,WASP-95,0,2.184673,0.03415,13.563,382.66732,5830,1.13,137.544
WASP-95 b,WASP-95,0,2.184673,0.03416,13.56,359.13,5630,1.13,137.544
WASP-96 b,WASP-96,0,3.4252602,0.0453,13.45,152.55,5540,1.05,352.464
WASP-96 b,WASP-96,0,3.4252602,0.0454,13.451,155.7367,5500,1.05,352.464
WASP-97 b,WASP-97,0,2.07276,0.03305,12.666,420.48909,5670,1.06,151.068
WASP-97 b,WASP-97,0,2.07276,0.03303,12.67,419.52,5640,1.06,151.068
WASP-98 b,WASP-98,0,2.96264,0.036,12.33,263.79,5525,0.7,281.742
WASP-98 b,WASP-98,0,2.96264036,0.03762,12.823,293.03926,5473,0.74,281.742
WASP-98 b,WASP-98,0,2.96264,0.03571,12.33,269.51984,5550,0.7,281.742
WASP-99 b,WASP-99,0,5.75251,0.0717,12.33,883.53,6180,1.76,158.66
WASP-99 b,WASP-99,0,5.75251,0.0717,12.33,889.924,6150,1.76,158.66
WD 1856+534 b,WD 1856+534,0,1.4079405,0.0204,10.4,4386.054,4710,0.01,24.7359
WTS-1 b,WTS-1,0,3.352057,0.047,16.7,1274.44,6250,1.15,2346.01
Wendelstein-1 b,Wendelstein-1,0,2.663416,0.0282,11.561,188.15536,4251,0.61,305.3
Wendelstein-2 b,Wendelstein-2,0,1.7522239,0.0234,12.993,232.33373,4591,0.66,565.541
Wolf 503 b,Wolf 503,0,6.00127,0.05706,2.043,6.26,4716,0.69,44.526
XO-1 b,XO-1,0,3.94150685,0.0493,13.518,290.17879,5750,0.93,163.553
XO-1 b,XO-1,0,3.941534,0.0488,14.572,286.047,5750,1,163.553
XO-1 b,XO-1,0,3.94150685,0.049,13.563,292.391,5750,0.94,163.553
XO-1 b,XO-1,0,3.9415128,0.04944,13.518,293.67492,5750,0.94,163.553
XO-2 N b,XO-2 N,0,2.61585922,0.03665,11.422,189.10885,5332,1,154.273
XO-2 N b,XO-2 N,0,2.615864,0.03616,11.03,188.47319,5340,0.96,154.273
XO-2 N b,XO-2 N,0,2.61585922,0.03673,11.422,189.737,5332,1.01,154.273
XO-2 N b,XO-2 N,0,2.615864,0.03647,11.119,176.39565,5340,0.97,154.273
XO-3 b,XO-3,0,3.1915239,0.0454,13.641,3747.06,6429,1.38,213.053
XO-3 b,XO-3,0,3.1915426,0.0476,21.858,4211.22639,6429,2.13,213.053
XO-3 b,XO-3,0,3.1915289,0.04529,13.989,3759.9289,6429,1.41,213.053
XO-3 b,XO-3,0,3.19153285,0.04539,13.641,3718.611,6430,1.38,213.053
XO-4 b,XO-4,0,4.1250823,0.05524,15.02,512.34196,6400,1.56,272.655
XO-4 b,XO-4,0,4.1250828,0.05474,14.426,491.68301,6397,1.53,272.655
XO-4 b,XO-4,0,4.12502,0.05475,14.46,483.41943,6397,1.53,272.655
XO-5 b,XO-5,0,4.1877558,0.0515,12.78,378.2,5430,1.13,276.211
XO-5 b,XO-5,0,4.18775581,0.04874,12.431,332.45018,5370,1.08,276.211
XO-5 b,XO-5,0,4.187757,0.0488,12.431,336.568,5370,1.08,276.211
XO-5 b,XO-5,0,4.187732,0.0508,12.89,365.5045,5510,1.11,276.211
XO-5 b,XO-5,0,4.187757,0.0494,12.207,344.52772,5370,1.06,276.211
XO-6 b,XO-6,0,3.7650007,0.0815,23.203,1398.452,6720,1.93,235.479
XO-7 b,XO-7,0,2.8641424,0.04421,15.39,225.34147,6250,1.48,234.149
pi Men c,HD 39091,0,6.2679,0.06839,2.042,4.82,6037,1.1,18.2702
pi Men c,HD 39091,0,6.26834,0.06702,2.06,4.52,5870,1.1,18.2702
