Name,starName,controversial,solution,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance
55 Cnc c,55 Cnc,0,Published Confirmed,0,44.373,0.23735,,56.6985,5250,0.96
55 Cnc c,55 Cnc,0,Published Confirmed,0,43.93,0.24,,,,
55 Cnc c,55 Cnc,0,Published Confirmed,0,44.4175,0.241376,,54.4738,,
55 Cnc d,55 Cnc,0,Published Confirmed,0,4867,5.446,,1226.77,5250,0.96
55 Cnc d,55 Cnc,0,Published Confirmed,0,5218,5.77,,,5250,0.96
55 Cnc d,55 Cnc,0,Published Confirmed,0,4820,5.54,,,5317.89,0.96
55 Cnc d,55 Cnc,0,Published Confirmed,0,4517.4,5.257,,,,
55 Cnc d,55 Cnc,0,Published Confirmed,0,5370,5.84,,,5250,0.96
55 Cnc d,55 Cnc,0,Published Confirmed,0,5360,5.9,,,,
55 Cnc d,55 Cnc,0,Published Confirmed,0,4909,5.47,,,5250,0.96
55 Cnc d,55 Cnc,0,Published Confirmed,0,4545,5.28,,,,
55 Cnc d,55 Cnc,1,Published Confirmed,0,5574.2,5.957,,,5172,0.94
55 Cnc d,55 Cnc,0,Published Confirmed,0,4825,5.503,,1232.493,,
55 Cnc e,55 Cnc,0,Published Confirmed,0,0.7365515,0.015691,,8.13928,,
55 Cnc e,55 Cnc,0,Published Confirmed,0,,,,,5250,0.96
55 Cnc e,55 Cnc,0,Published Confirmed,0,0.73654,0.01583,2,8.63,,0.94
55 Cnc e,55 Cnc,0,TESS Project Candidate,0,0.73654582,,1.915,,5250,0.96
55 Cnc e,55 Cnc,0,Published Confirmed,0,0.7365417,,,,,
55 Cnc e,55 Cnc,0,Published Confirmed,0,0.736539,0.01544,1.91,8.08,5250,0.96
55 Cnc e,55 Cnc,0,Published Confirmed,0,0.7365437,0.01544,2.08,7.81,5234,0.94
55 Cnc e,55 Cnc,0,Published Confirmed,0,0.737,,1.897,7.74,5172,0.95
55 Cnc e,55 Cnc,0,Published Confirmed,0,2.808,0.038,,,,
55 Cnc e,55 Cnc,0,Published Confirmed,0,2.79674,0.0377,,,5250,0.96
55 Cnc e,55 Cnc,0,Published Confirmed,0,0.736546,0.01583,2.173,8.37,5250,0.96
55 Cnc e,55 Cnc,0,Published Confirmed,0,,0.01544,1.92,8.08,5250,0.96
55 Cnc e,55 Cnc,0,Published Confirmed,0,0.7365478,0.015439,,8.09479,5250,0.96
55 Cnc e,55 Cnc,0,Published Confirmed,0,0.7365445,0.01583,,,5317.89,0.96
55 Cnc e,55 Cnc,1,Published Confirmed,0,0.7365474,0.01544,1.875,7.99,5172,0.94
55 Cnc f,55 Cnc,0,Published Confirmed,0,260.7,0.775,,,5250,0.96
55 Cnc f,55 Cnc,0,Published Confirmed,0,262,0.788,,44.812,,
55 Cnc f,55 Cnc,0,Published Confirmed,0,260.98,0.792,,,5317.89,0.96
55 Cnc f,55 Cnc,0,Published Confirmed,0,260,0.781,,,5250,0.96
55 Cnc f,55 Cnc,0,Published Confirmed,0,260.91,0.7733,,47.0051,5250,0.96
55 Cnc f,55 Cnc,1,Published Confirmed,0,259.88,0.7708,,,5172,0.94
55 Cnc f,55 Cnc,0,Published Confirmed,0,261.2,0.77,,,5250,0.96
6 Lyn b,6 Lyn,1,Published Confirmed,0,934.3,2.11,,,4938,5.2
6 Lyn b,6 Lyn,0,Published Confirmed,0,874.774,2.18,,,,5.2
6 Lyn b,6 Lyn,0,Published Confirmed,0,899,2.2,,,4978,5.2
61 Vir b,61 Vir,0,Published Confirmed,0,4.21487,0.04956,,,5585.57,1.03
61 Vir b,61 Vir,1,Published Confirmed,0,4.215,0.050201,,,5577,0.96
61 Vir c,61 Vir,1,Published Confirmed,0,38.021,0.2175,,,5577,0.96
61 Vir c,61 Vir,0,Published Confirmed,0,38.0957,0.2151,,,5585.57,1.03
61 Vir d,61 Vir,1,Published Confirmed,0,123.01,0.476,,,5577,0.96
7 CMa b,7 CMa,0,Published Confirmed,0,796,1.93,,,4794.52,4.91
7 CMa b,7 CMa,1,Published Confirmed,0,735.1,1.758,,,4826,4.87
7 CMa b,7 CMa,0,Published Confirmed,0,763,1.9,,,4792,2.3
7 CMa c,7 CMa,1,Published Confirmed,0,996,2.153,,,4826,4.87
70 Vir b,70 Vir,1,Published Confirmed,0,116.688,0.481,,,5495,1.89
70 Vir b,70 Vir,0,Published Confirmed,0,116.6884,0.48,,,5531,1.84
70 Vir b,70 Vir,0,Published Confirmed,0,116.6926,0.481,,,5439,1.94
70 Vir b,70 Vir,0,Published Confirmed,0,116.689,0.456,,,,
70 Vir b,70 Vir,0,Published Confirmed,0,116.6884,0.484,,2380.45,5545,
70 Vir b,70 Vir,0,Published Confirmed,0,116.69335,0.4765,,,5481.86,1.92
75 Cet b,75 Cet,1,Published Confirmed,0,691.9,2.1,,,4846,10.5
8 UMi b,8 UMi,0,Published Confirmed,0,93.4,0.49,,,4847.4,9.9
8 UMi b,8 UMi,1,Published Confirmed,0,93.4,0.49,,,4847,10.3
81 Cet b,81 Cet,0,Published Confirmed,0,,2.17,,,,
81 Cet b,81 Cet,1,Published Confirmed,0,952.7,2.5,,,4785,11
91 Aqr b,91 Aqr,1,Published Confirmed,0,181.4,0.7,,,4665,11
AB Aur b,AB Aur,1,Published Confirmed,0,,93.9,,2860.45566,9770,
AB Pic b,AB Pic,1,Published Confirmed,0,,260,,4290.5,,
AU Mic b,AU Mic,0,Published Confirmed,0,8.463,,,11.7,3700,0.75
AU Mic b,AU Mic,0,TESS Project Candidate,0,,,4.027,,3588,0.7
AU Mic b,AU Mic,0,Published Confirmed,0,8.463,0.0645,4.07,17,3700,0.75
AU Mic b,AU Mic,0,Published Confirmed,0,8.46321,,,17.1,3700,0.75
AU Mic b,AU Mic,1,Published Confirmed,0,8.4629991,0.0645,,20.12,,
AU Mic b,AU Mic,0,Published Confirmed,0,8.46321,0.066,4.203,,3700,0.75
AU Mic b,AU Mic,0,Published Confirmed,0,8.4630004,0.0644,4.19,,,0.75
AU Mic c,AU Mic,0,Published Confirmed,0,18.859019,,,22.2,3700,0.75
AU Mic c,AU Mic,0,Published Confirmed,0,18.858982,0.11,2.79,,,0.75
AU Mic c,AU Mic,1,Published Confirmed,0,18.858991,0.1101,,9.6,,
AU Mic c,AU Mic,0,Published Confirmed,0,18.859019,0.1101,3.24,13.6,3700,0.75
BD+03 2562 b,BD+03 2562,1,Published Confirmed,0,481.9,1.3,,,4095,32.35
BD+14 4559 b,BD+14 4559,1,Published Confirmed,0,268.94,0.78,,,4864,0.86
BD+14 4559 b,BD+14 4559,0,Published Confirmed,0,268.94,0.777,,,5008,0.95
BD+15 2375 b,BD+15 2375,1,Published Confirmed,0,153.22,0.576,,,4649,8.95
BD+15 2940 b,BD+15 2940,1,Published Confirmed,0,137.48,0.539,,,4796,14.7
BD+20 2457 b,BD+20 2457,1,Published Confirmed,0,379.63,1.05,,,4259,71.02
BD+20 2457 b,BD+20 2457,0,Published Confirmed,0,379.63,1.45,,,4137,49
BD+20 2457 c,BD+20 2457,1,Published Confirmed,0,621.99,2.01,,,4137,49
BD+20 274 b,BD+20 274,1,Published Confirmed,0,578.2,1.3,,,4296,17.3
BD+20 594 b,BD+20 594,0,Published Confirmed,0,41.6855,0.241,2.23,16.3,5766,0.93
BD+20 594 b,BD+20 594,0,Published Confirmed,0,41.688644,,2.355,,5703,0.96
BD+20 594 b,BD+20 594,1,Published Confirmed,0,41.6855,,2.578,22.2481,5766,1.08
BD+45 564 b,BD+45 564,1,Published Confirmed,0,307.88,0.83,,,5004,
BD+48 738 b,BD+48 738,1,Published Confirmed,0,392.6,1,,,4414,11
BD+48 740 b,BD+48 740,1,Published Confirmed,0,733,1.7,,,4534,10.33
BD+49 828 b,BD+49 828,1,Published Confirmed,0,2590,4.2,,,4943,7.6
BD+55 362 b,BD+55 362,1,Published Confirmed,0,265.59,0.78,,,5012,
BD+60 1417 b,BD+60 1417,1,Published Confirmed,0,,1662,14.684,4767.4261,4993,0.8
BD+63 1405 b,BD+63 1405,1,Published Confirmed,0,1198.48,2.06,,,5000,
BD-00 4475 b,BD-00 4475,1,Published Confirmed,0,723.2,1.48,,,5040,
BD-06 1339 b,BD-06 1339,1,Published Confirmed,0,3.8728,0.0428,,,4324,
BD-06 1339 c,BD-06 1339,1,Published Confirmed,0,125.94,0.435,,,4324,
BD-08 2823 b,BD-08 2823,1,Published Confirmed,0,5.6,0.06,,,4816,0.71
BD-08 2823 b,BD-08 2823,0,Published Confirmed,0,5.6,0.056,,,4746,
BD-08 2823 c,BD-08 2823,1,Published Confirmed,0,237.6,0.68,,,4746,
BD-10 3166 b,BD-10 3166,0,Published Confirmed,0,3.48777,0.0452,,,5393,
BD-10 3166 b,BD-10 3166,0,Published Confirmed,0,3.487,0.046,,,5400,
BD-10 3166 b,BD-10 3166,1,Published Confirmed,0,3.48777,0.04,,,5393,0.91
BD-10 3166 b,BD-10 3166,0,Published Confirmed,0,3.487905,0.045,,,5382.64,0.97
BD-11 4672 b,BD-11 4672,0,Published Confirmed,0,1667,2.28,,,4475,0.52
BD-11 4672 b,BD-11 4672,1,Published Confirmed,0,1634,2.36,,,4550,0.64
BD-11 4672 c,BD-11 4672,1,Published Confirmed,0,74.2,0.3,,,4550,0.64
BD-13 2130 b,BD-13 2130,1,Published Confirmed,0,714.29999,1.66,,,4545,19.17
BD-13 2130 b,BD-13 2130,0,Published Confirmed,0,714.3,2.1,,,,
BD-17 63 b,BD-17 63,1,Published Confirmed,0,655.6,1.34,,,4714,0.69
BD-17 63 b,BD-17 63,0,Published Confirmed,0,655.59998,1.34,,,4665,0.74
CD Cet b,CD Cet,1,Published Confirmed,0,2.2907,0.0185,,,3130,0.17
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,Published Confirmed,0,10037.5,2.6,,3337.1,580.5,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,Published Confirmed,0,8040000,200,20.849,2479.06157,2320,0.24
CHXR 73 b,CHXR 73,1,Published Confirmed,0,,210,,3994.486,,
CI Tau b,CI Tau,1,Published Confirmed,0,8.9891,,,3686.828,,
COCONUTS-2 b,COCONUTS-2 A,1,Published Confirmed,0,402000000,7506,12.442,2002.31896,3406,0.39
CT Cha b,CT Cha,1,Published Confirmed,0,,440,24.66,5403,,
CoRoT-1 b,CoRoT-1,0,Published Confirmed,0,1.5089686,0.02536,17.385,327.3649,5950,1.13
CoRoT-1 b,CoRoT-1,0,Published Confirmed,0,1.5089557,0.0261,16.589,359.1479,5950,1.14
CoRoT-1 b,CoRoT-1,0,Published Confirmed,0,1.5089682,0.02752,19.223,390.9309,6298,1.23
CoRoT-1 b,CoRoT-1,0,Published Confirmed,0,1.50897655,0.0259,15.917,340.0781,5950,
CoRoT-1 b,CoRoT-1,1,Published Confirmed,0,1.5089557,,16.7,327.35,5950,1.11
CoRoT-1 b,CoRoT-1,0,TESS Project Candidate,0,1.5089635,,20.594,,5950,1.29
CoRoT-10 b,CoRoT-10,0,Published Confirmed,0,13.2406,0.106,10.548,883.5674,5075,0.74
CoRoT-10 b,CoRoT-10,1,Published Confirmed,0,13.2406,0.1055,10.87,874,5075,0.79
CoRoT-10 b,CoRoT-10,0,Published Confirmed,0,13.2406,0.1055,10.873,867.6759,5075,0.79
CoRoT-11 b,CoRoT-11,0,Published Confirmed,0,,,,,6343,1.36
CoRoT-11 b,CoRoT-11,0,Published Confirmed,0,2.99433,0.044,15.984,743.7222,6440,1.37
CoRoT-11 b,CoRoT-11,0,Published Confirmed,0,2.994325,0.04351,15.581,791.3967,,1.33
CoRoT-11 b,CoRoT-11,0,Published Confirmed,0,2.994325,0.04407,16.029,832.7146,6440,1.37
CoRoT-11 b,CoRoT-11,1,Published Confirmed,0,2.99433,0.0436,16.03,740.51,6440,1.37
CoRoT-12 b,CoRoT-12,1,Published Confirmed,0,2.828042,0.04016,16.14,291.438,5675,1.12
CoRoT-12 b,CoRoT-12,0,Published Confirmed,0,2.828042,0.0394,15.132,281.91521,5675,1.05
CoRoT-12 b,CoRoT-12,0,TESS Project Candidate,0,2.82803915,,17.76,,5675,1.04
CoRoT-12 b,CoRoT-12,0,Published Confirmed,0,2.828042,0.04013,16.141,290.81445,5675,1.12
CoRoT-12 b,CoRoT-12,0,Published Confirmed,0,2.82805268,0.0392,15.065,277.46559,,1.05
CoRoT-12 b,CoRoT-12,0,Published Confirmed,0,2.828041,,,,5675,1.12
CoRoT-13 b,CoRoT-13,1,Published Confirmed,0,4.03519,0.051,9.92,415.704,5945,1.01
CoRoT-13 b,CoRoT-13,0,Published Confirmed,0,4.03519,0.051,14.034,416.99296,5945,1.27
CoRoT-13 b,CoRoT-13,0,TESS Project Candidate,0,4.03504444,,12.533,,5945,1.14
CoRoT-13 b,CoRoT-13,0,Published Confirmed,0,4.03519,0.05107,9.92,423.03173,5945,1.01
CoRoT-13 b,CoRoT-13,0,Published Confirmed,0,4.03515,,,,5945,1.01
