,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityToTitan
3524,NGTS-10 b,NGTS-10,0,0.0143,13.507,687.14846,0.0,,1332.0,4600.0,0.7,0.7,,4.59,,,,,,,,,,6.548588723842563e-05
3525,HD 4203 c,HD 4203,0,6.95,,689.66,0.24,,,5582.0,1.5,0.99,0.293,4.08,,(6.210557230406676+0j),(4.754053717666417+0j),(6.320866095130344+0j),(6.289021928193707+0j),(80.25095648012459+0j),(172.02933587357649+0j),(73.71316938641576+0j),(94.87778531765088+0j),6.524741457125671e-05
3526,HATS-15 b,HATS-15,0,0.02712,12.386,689.6911,0.126,,1505.0,5311.0,0.92,0.87,-0.204,4.45,,(64.21755506738677+64.21755506738677j),(49.15721650753822+49.15721650753822j),(65.35815571431925+65.35815571431925j),(65.0288850115526+65.0288850115526j),(829.7999721734149+829.7999721734149j),(1778.7942272844946+1778.7942272844946j),(762.1988395965227+762.1988395965227j),(981.0423086478794+981.0423086478794j),6.524447248834608e-05
3527,HD 37605 b,HD 37605,0,0.28,,689.6911,0.68,,,5340.0,0.95,0.68,,4.32,,,,,,,,,,6.524447248834608e-05
3528,kap CrB b,kap CrB,0,2.8,,689.6911,0.125,,,4871.0,4.84,,,,,,,,,,,,,6.524447248834608e-05
3529,HAT-P-31 b,HAT-P-31,0,0.055,11.99,689.98,0.245,,1450.0,6065.0,1.36,1.22,0.348,,,(72.88187409430576+0j),(55.78957437058216+0j),(74.1763661168436+0j),(73.80266976735162+0j),(941.7577021102597+0j),(2018.7915403597442+0j),(865.0357336713886+0j),(1113.4058583362907+0j),6.521715501039971e-05
3530,HAT-P-22 b,HAT-P-22,0,0.04142,12.106,690.32676,0.002,,,5302.0,1.04,0.92,,,,,,,,,,,,6.518439666336473e-05
3531,HD 12661 b,HD 12661,0,0.8079,,691.569,0.3768,,,5748.0,1.11,1.02,0.063,,,(12.404018310875006+0j),(9.495020684473467+0j),(12.624332386910758+0j),(12.56073171226554+0j),(160.28100164202434+0j),(343.5851169257773+0j),(147.22342438858092+0j),(189.49439522326827+0j),6.506731213451467e-05
3532,HD 128311 b,HD 128311,0,1.099,,692.84,0.25,,,,,0.84,,,,,,,,,,,,6.494795143352494e-05
3533,HAT-P-56 b,HAT-P-56,0,0.0423,16.432,692.8694,0.246,,1840.0,6566.0,1.43,1.3,,4.24,,,,,,,,,,6.494519563593482e-05
3534,HD 152079 b,HD 152079,0,3.98,,692.8694,0.52,,,5726.0,1.15,1.1,0.107,4.36,,(6.3798500858539215+0j),(4.88364391367539+0j),(6.493165847060047+0j),(6.460453643689635+0j),(82.43850794625983+0j),(176.7186634830451+0j),(75.72250807641213+0j),(97.4640478057085+0j),6.494519563593482e-05
3535,NGC 2682 Sand 978 b,NGC 2682 Sand 978,0,,,692.8694,0.16,,,4200.0,,1.37,,1.8,,,,,,,,,,6.494519563593482e-05
3536,WASP-87 b,WASP-87,0,0.02946,15.524,692.8694,0.0,,,6450.0,1.63,1.2,,,,,,,,,,,,6.494519563593482e-05
3537,HAT-P-22 b,HAT-P-22,0,0.04171,11.882,696.68336,,,1293.0,5314.0,1.06,0.94,,4.36,,,,,,,,,,6.458966772593389e-05
3538,HD 180053 b,HD 180053,0,0.843,,697.31902,0.081,,,5131.0,4.06,1.75,,3.54,,,,,,,,,,6.453079116830462e-05
3539,HD 206610 b,HD 206610,0,1.68,,699.197,0.229,,,4874.0,6.1,1.56,1.276,3.3,,(18.24795045464469+0j),(13.968430445172075+0j),(18.572061580830027+0j),(18.47849658191428+0j),(235.79453879233776+0j),(505.4591208655357+0j),(216.58511674806135+0j),(278.77130207357243+0j),6.435747286803739e-05
3540,HD 131496 b,HD 131496,0,2.09,,699.2,0.163,,,4927.0,4.3,1.61,0.991,3.3,,(15.358589609300006+0j),(11.756684194571754+0j),(15.631381328417241+0j),(15.552631310780285+0j),(198.45908516832392+0j),(425.4252673990226+0j),(182.29126234662243+0j),(234.6309539824739+0j),6.435719674358076e-05
3541,Kepler-40 b,Kepler-40,0,0.08,13.11,699.2,0.0,,1620.0,6510.0,2.13,1.48,,3.94,,,,,,,,,,6.435719674358076e-05
3542,WASP-8 b,WASP-8,0,0.08,11.2,699.2,0.3,,950.0,5600.0,,,,,,,,,,,,,,6.435719674358076e-05
3543,HAT-P-49 b,HAT-P-49,0,,17.822,699.226,0.0,,,6820.0,2.06,2.22,,4.1,,,,,,,,,,6.435480376443259e-05
3544,HD 13931 b,HD 13931,0,5.15,,699.226,0.02,,,5867.0,1.25,1.3,,4.36,,,,,,,,,,6.435480376443259e-05
3545,HD 98219 b,HD 98219,0,1.32,,699.226,0.0,,,4946.0,3.85,1.71,,3.5,,,,,,,,,,6.435480376443259e-05
3546,HD 163607 c,HD 163607,0,2.39,,699.54383,0.08,,,5522.0,1.76,1.12,,3.97,,,,,,,,,,6.432556581170701e-05
3547,KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,0,3.5,,700.0,,,,,,0.49,,,,,,,,,,,,6.428364802568698e-05
3548,KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,0,3.5,,700.0,,,,,,0.49,,,,,,,,,,,,6.428364802568698e-05
3549,KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,0,3.6,,700.0,,,,,,0.48,,,,,,,,,,,,6.428364802568698e-05
3550,KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,0,3.5,,700.0,,,,,,0.49,,,,,,,,,,,,6.428364802568698e-05
3551,KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,0,2.7,,700.0,,,,,,0.51,,,,,,,,,,,,6.428364802568698e-05
3552,6 Lyn b,6 Lyn,0,2.18,,702.4043,0.125,,,,5.2,1.82,,,,,,,,,,,,6.406361488497936e-05
3553,HD 159868 b,HD 159868,0,2.32,,704.94694,0.024,,,5534.0,2.13,1.19,,3.92,,,,,,,,,,6.383255421693601e-05
3554,KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,0,3.54,,705.57906,,,,,,0.65,,,,,,,,,,,,6.37753692042109e-05
3555,CoRoT-21 b,CoRoT-21,0,0.0416,14.572,705.5826,0.39,,,6200.0,1.95,1.29,,,,,,,,,,,,6.377504924504063e-05
3556,WASP-71 b,WASP-71,0,0.04622,16.365,706.21826,0.019,,,6050.0,2.26,1.56,,,,,,,,,,,,6.371764778922984e-05
3557,HD 216437 b,HD 216437,0,2.497,,706.53609,0.317,,,5909.0,1.39,1.17,,4.19,,,,,,,,,,6.368898579245386e-05
3558,HAT-P-31 b,HAT-P-31,0,,,707.80741,0.2419,,,,,1.22,,,,,,,,,,,,6.357459520189845e-05
3559,HD 145457 b,HD 145457,0,0.76,,708.7609,0.11,,,4769.0,10.52,1.23,,2.48,,,,,,,,,,6.348907155562244e-05
3560,HD 4203 b,HD 4203,0,1.17,,708.7609,0.52,,,5596.0,1.42,1.25,,4.23,,,,,,,,,,6.348907155562244e-05
3561,HAT-P-14 b,HAT-P-14,0,0.0606,12.89,709.367,0.107,,1570.0,6600.0,1.47,1.39,0.563,4.25,,(78.30632670687426+0j),(59.94188118498985+0j),(79.69716519032389+0j),(79.2956553664324+0j),(1011.8508506619604+0j),(2169.0461706285228+0j),(929.4186190429584+0j),(1196.2744370076678+0j),6.343482670667644e-05
3562,HAT-P-14 b,HAT-P-14,0,,12.801,709.39656,0.107,,,,1.47,1.39,,,,,,,,,,,,6.343218351090307e-05
