,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,luminosity,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid
2326,TrES-1 b,TrES-1,0,5887500.0,11.96,238.998,5230.0,564037.02,-0.359,0.1395354536267927,4.4646517796119936,2.8703562380360776,2.369301578078868,2.778606427130878,2.3411039652026906,0.004737611083883187,0.004220168800238899,0.004158165967560201
2333,HAT-P-54 b,HAT-P-54,0,6175500.0,10.581,241.5508,4390.0,431732.04,-0.902,0.20366301930926659,4.771961500062658,2.0502895450598726,1.6923872341199981,1.984752844225533,1.6834312786176793,0.0038534329748617768,0.003424849737250365,0.0033805102867928605
2334,HATS-54 b,HATS-54,0,5644499.999999999,11.96,241.5508,5702.0,919171.4400000001,0.212,0.14102586821611343,4.488432501570876,4.072288346118679,3.361422208503549,3.9421192469815356,3.3154525742506067,0.006704887269338382,0.005974979128757358,0.005895938521002058
2335,HAT-P-62 b,HAT-P-62,0,5657999.999999999,12.027,241.86742,5629.0,814720.1399999999,0.091,0.1388638749682714,4.478845471873044,3.7937594357799798,3.13151381662478,3.6724934039752353,3.0892863601025335,0.006217013062005648,0.005539996230320907,0.00546490102966325
2338,HAT-P-33 b,HAT-P-33,0,7485000.0,18.898,242.176,6446.0,1142000.88,0.618,0.035839951116664034,3.575309779163914,4.467405327832839,3.6875668437567817,4.32460646940752,3.636471222200771,0.004425742586386088,0.003960653149606803,0.0038814182009961526
2340,HAT-P-29 b,HAT-P-29,0,9975000.0,11.926,243.77561,6115.0,863464.08,0.283,0.1435455315103746,4.515478426191279,3.1911322863894416,2.634082369920071,3.0891289949617424,2.600593115030435,0.005293256575817059,0.004714977356753167,0.004650089098989514
2341,HATS-51 b,HATS-51,0,6958500.0,15.805,244.09344,5758.0,1002732.48,0.31,0.06175277072294187,3.9249746137578625,3.8805514365372633,3.2031552462264075,3.7565111324829488,3.1597473329226395,0.004728010746941911,0.00422507149860529,0.004150726275954782
2352,HAT-P-29 b,HAT-P-29,0,10005000.0,12.408,247.261,6087.0,849537.24,0.265,0.1292808228964957,4.458440411342732,3.1534991165750346,2.60301851538946,3.0526987546543007,2.5701192111591067,0.0050291804392624245,0.004481670040909945,0.00441859991469829
2354,HAT-P-9 b,HAT-P-9,0,7950000.0,15.69,247.9,6350.0,919171.4400000001,0.41,0.064104945735595,3.969929915274384,3.845631759743934,3.1743312123883474,3.722707649456861,3.1313965235800545,0.004737777355120105,0.004233227949185909,0.004160883775056997
2361,HAT-P-66 b,HAT-P-66,0,6544500.0,17.822,248.86089,6002.0,1309122.96,0.615,0.04391078214107519,3.7321247630546153,4.769392057455406,3.936838214875223,4.616940311708441,3.881923523210404,0.00507449258938214,0.004539743178007672,0.0044577636140856625
