,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin
3328,HAT-P-36 b,HAT-P-36,0,3570000.0000000005,14.168,582.24,5560.0,765976.2000000001,0.2046698143070592,6.402547266067347,1880.3289756539891,4030.752518017788,1727.1446268543332,1869.3501662536078,0.0032156113672412185,0.09048927678191052,0.0035763734954069727,0.014603099462826579,0.0011067228312348447
3329,Kepler-117 c,Kepler-117,0,42060000.0,12.341,584.78,6150.0,1121110.62,0.31104187113769644,6.875070050322473,733.0780771529772,1571.4570926932006,673.3565660121274,728.7978024835614,0.010190910852501163,0.20794100823042105,0.011037289699403463,0.043420387494655065,0.0045678290088770656
3333,HAT-P-36 b,HAT-P-36,0,3615000.0,14.314,587.41341,5620.0,724195.68,0.2002341829398771,6.398047649840446,1836.519934790116,3936.8416098414227,1686.9045675267553,1825.7969163262599,0.00319387651868996,0.09093028100235935,0.003552158488900071,0.014494765633738442,0.0010997760637319932
3337,HAT-P-36 b,HAT-P-36,0,3573000.0,14.168,587.9855,5560.0,765976.2000000001,0.2066894804552133,6.434059641012164,1879.5394190474153,4029.0599911667578,1726.4193928828859,1868.5652196868764,0.00322934133864739,0.09076123819293025,0.003590914846208911,0.01467252494456573,0.0011222698105135666
3338,HAT-P-57 b,HAT-P-57,0,6090000.0,15.838,587.9855,7500.0,1044513.0,0.14795955015651654,6.0854007977298155,2267.7493911932315,4861.243264948478,2083.003148259902,2254.5085228898106,0.001947850827494136,0.06057935386112569,0.0021825341907252683,0.008931132398647153,0.0006003013404610613
3341,K2-114 b,K2-114,0,13963500.0,10.559,587.9855,5027.0,577963.86,0.4993161905842179,7.452945774893019,746.7024893141083,1600.662957377539,685.8710411719658,742.3426648285454,0.015179275642087275,0.14859252380298532,0.0162689274046884,0.06457764060265946,0.008283397392140296
3343,HAT-P-36 b,HAT-P-36,0,3582000.0,14.617,588.62116,5620.0,724195.68,0.18842500314713978,6.337892372304842,1844.9602212786776,3954.9345640303195,1694.657251044681,1834.1879219188495,0.0029890110279828163,0.08696586514612493,0.003327786420711011,0.01357113443449192,0.0010099899855822456
3345,HATS-1 b,HATS-1,0,6660000.0,14.594,589.55,5870.0,724195.68,0.18961601703420644,6.347887174744394,1413.235273844619,3029.470753445958,1298.1035453398788,1404.9837173827827,0.003767873375599108,0.111803184133636,0.004176410947195622,0.016859356002536786,0.0013091879720288227
3357,WASP-163 b,WASP-163,0,3990000.0,13.473,594.3421,5500.0,703305.42,0.24295227320214674,6.633490943976156,1685.9074933178872,3613.9824263850564,1548.5620368343812,1676.0638663379998,0.004130193813828231,0.109286774850732,0.004571902638033841,0.018662772170459627,0.0015417523852211338
3360,WASP-73 b,WASP-73,0,8275499.999999999,13.002,597.20257,6030.0,1441427.94,0.2716242778688566,6.7688018602591224,1837.393500462188,3938.7142220693627,1687.7069666155633,1826.6653814488343,0.004257344337468824,0.09596105302568136,0.004708799871605885,0.01932052001084884,0.0016465998671107334
3361,WASP-73 b,WASP-73,0,8268000.0,13.002,597.5,6036.0,1441427.94,0.27175955727491563,6.770487213129627,1840.0557534483933,3944.4211398835787,1690.1523344208706,1829.3120901507734,0.004252760850723722,0.09579224257549701,0.004703777771213236,0.0193016072417604,0.0016454620932689315
