,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,luminosity,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin,similarityIndex_Dhrawn
264,TOI-178 e,TOI-178,0,11745000.0,2.207,3.86,4316.0,452622.3,-0.879,0.3586444760384651,1.3208348950581,18451.01997939799,15230.17602312083,17861.240365395755,15013.00532480054,0.0201981057896705,0.02289966797196577,0.03681457675410468,0.0018791272706508433,0.005300389714554278
266,K2-36 b,K2-36,0,3345000.0,1.43,3.9,4916.0,501366.24,-0.57,1.3321107576410058,1.6493785147696394,41304.63879263119,34094.42513669227,39984.35222035387,33608.264628466764,0.01122714985013464,0.012146338891356162,0.01990848255160442,0.0012086792244620339,0.0033172675482029024
278,TOI-178 g,TOI-178,0,19125000.0,2.87,3.94,4316.0,452622.3,-0.879,0.16646938401132755,1.1702083988001704,14459.263352086176,11935.227768590697,13997.078672427711,11765.040520250186,0.02008278401891282,0.022868493171846565,0.035242971491539474,0.0019168399459734134,0.005441866065455912
289,Kepler-289 d,Kepler-289,0,49500000.0,2.68,4.0,5990.0,696342.0,0.061,0.20755798704254558,1.2201652350142376,15439.893138890815,12744.677017641772,14946.363012867512,12562.947640148954,0.020220010445788174,0.022999339935418597,0.03598552708379207,0.001923765216328445,0.005453817993308906
292,Kepler-62 c,Kepler-62,0,13935000.0,0.54,4.0,4925.0,445658.88,-0.678,25.37245861174704,2.718248543529487,19017.06115755254,15697.408012964996,18409.188259388557,15473.574942695885,0.009125205039541609,0.009786943599077046,0.01508008983705063,0.0031359115818064514,0.005634159906055576
294,TOI-776 b,TOI-776,0,9780000.0,1.85,4.0,3709.0,376024.68000000005,-1.31,0.6309989651693105,1.4685886915171122,15777.110319185758,13023.028947217865,15272.80117830846,12837.330483429978,0.027268582061849775,0.030754879119061312,0.049905728063101985,0.002593622996784917,0.007234472701743671
295,Kepler-93 b,Kepler-93,0,7950000.0,1.478,4.02,5655.0,640634.64,-0.106,1.2436168329534172,1.6471450966635488,34995.59044750047,28886.69586524767,33876.97013008968,28474.793605963332,0.013323054176092594,0.014419586662930297,0.02389403963641908,0.0014094447227159359,0.0038753831645247806
302,Kepler-79 e,Kepler-79,0,57900000.0,3.49,4.1,6174.0,905244.6,0.342,0.09633662262645425,1.0825183405906076,16782.53678671466,13852.94632283546,16246.089583302668,13655.413870015704,0.014241073928612343,0.016259403254148215,0.02450072251137777,0.0014110175884646642,0.004026353384028931
304,Kepler-80 e,Kepler-80,0,7365000.0,1.6,4.13,4540.0,473512.56000000006,-0.77,1.0071031273394628,1.6046158685103422,24809.07169100837,20478.354543335638,24016.059448757573,20186.348820625983,0.019233892684946616,0.020847836324246107,0.03472099868514313,0.0018891907153796863,0.005221998260199788
322,HD 219134 b,HD 219134,0,5730000.0,1.606,4.33612,4699.0,543146.76,-0.577,1.045558917983631,1.6410957624583635,31431.823615164736,25945.02672053712,30427.117706231944,25575.070420473094,0.015040589715077329,0.016299903095857583,0.02779081084407326,0.0015220152833797904,0.004206682711292559
