,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin,similarityIndex_Habranah,similarityIndex_Dhrawn
103,GJ 357 b,GJ 357,0,5250000.000000001,1.217,1.84,3505.0,236756.28000000003,1.0205246286806822,1.2280602396601665,543.4312908527619,1164.9222409140298,499.1596929119369,540.2583202493596,0.5603243687881782,0.010694306637354298,0.3757059856551478,0.5238237244647451,0.001998924666454133,0.05259104818631949,0.010536980278180477
104,GJ 3473 b,GJ 3473,0,2383500.0,1.264,1.86,3347.0,250683.12,0.9207656819008961,1.2115434203779671,792.4943908451648,1698.824409331409,727.9324238910718,787.867197954658,0.41246116890087775,0.008668847011069705,0.29214010770420534,0.412870610790358,0.0013707992812378583,0.036999136426947736,0.008014927316417965
107,Kepler-11 b,Kepler-11,0,13650000.0,1.8,1.9,5663.0,738122.52,0.32569679691024844,1.0261163228781742,961.4572552042949,2061.020333441013,883.1304275884255,955.8435269215457,0.1614154546277851,0.017880780285874174,0.11877169537099978,0.2050442715936574,0.0004984044534271553,0.013487557294103027,0.0032334225133773685
112,L 98-59 d,L 98-59,0,7290000.0,1.521,1.94,3415.0,208902.6,0.5511775114068829,1.12795638292766,422.06990211730687,904.7668481240888,387.6852258500665,419.6055328133281,0.43337148327525377,0.02366090315154831,0.3366887695353102,0.42336701146186917,0.0015159436994891193,0.038351120253056814,0.006171217246083217
117,Kepler-11 f,Kepler-11,0,37500000.0,2.49,2.0,5663.0,738122.52,0.1295118050172228,0.8950996195457033,580.0703573748028,1243.4632896101352,532.8138926269055,576.6834596697277,0.08313579829802917,0.02653944731782195,0.06967307924450473,0.11209903457212744,0.0003460492785044284,0.007603627842221357,0.00204222902548097
126,GJ 1252 b,GJ 1252,0,1374000.0,1.193,2.09,3458.0,271573.38,1.2305587615768652,1.3219315549745039,1122.4338060075872,2406.096458892153,1030.9927369871036,1115.880172584789,0.29081954927850734,0.005130726868836899,0.18362496315062357,0.31102370886452485,0.0013696006216620629,0.027750584652254735,0.008400102800955652
129,K2-32 e,K2-32,0,7348500.0,1.212,2.1,5271.0,598854.12,1.1792037105259763,1.3146628347879978,1098.6002790571995,2355.0059050516434,1009.1008507563802,1092.1858041290664,0.30111674906821134,0.005473282794005208,0.19059197960763205,0.325339895178253,0.0013545667513235372,0.028636658981494555,0.008308185287357257
131,Kepler-51 b,Kepler-51,0,37710000.0,7.1,2.1,6018.0,654561.48,0.005865724353289231,0.5431709329998973,578.8748166178834,1240.9004780070911,531.7157487269634,575.4948994009411,0.0013594726873624684,0.0024816234657976236,0.0011602499933869186,0.0019457499801555766,1.926537250185724e-05,0.0002075061250397389,0.00011783434526348963
138,LTT 1445 A b,LTT 1445 A,0,5710500.0,1.38,2.2,3337.0,194975.76,0.8368792954397252,1.2610370467402388,450.18909085541486,965.0443273728066,413.5136347983648,447.5605400610447,0.5329540153470855,0.01662243656045982,0.4064334004749331,0.568709121100983,0.0021933902440701043,0.04708465681671815,0.00942639200862898
139,TOI-1266 c,TOI-1266,0,15870000.0,1.56,2.2,3600.0,292463.64,0.5793303588766009,1.186055712220793,356.8087491755746,764.8702874931809,327.74068896048914,354.7254247678206,0.47199976967379453,0.027623708744798855,0.37190096485152085,0.41776409454986846,0.0019179826893975641,0.041222172681064706,0.006271938307139884
