,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityIndex_Earth,similarityIndex_Venus,similarityIndex_Mars
802,HD 31527 b,HD 31527,0,0.1254,,10.47,0.1,,,5898.0,,0.96,0.079,4.45,,33.31686046456248,25.503370869372844,33.908618163212985,33.73778845710485,430.51047112255793,922.8604079276789,395.4381688689562,508.9768626780531,,,
805,HD 136352 d,HD 136352,0,0.4285,,10.5,0.075,5.8,433.0,5850.0,1.01,0.91,0.034,4.38,,14.598236039817126,11.174649188752426,14.85752273258542,14.782671370914297,188.63402455776702,404.36385298248103,173.2666177967827,223.0151423806247,,,
806,KOI-94 b,KOI-94,0,0.05119,1.71,10.5,0.25,,1486.0,6182.0,1.52,1.28,0.479,4.18,,81.82714129171983,62.63699227491747,83.28051475316714,82.86095221625276,1057.3457599818005,2266.570977549161,971.2072045502671,1250.0614126253704,0.0006926013898797184,0.0006166298076203948,3.755906961909961e-05
824,Kepler-79 b,Kepler-79,0,0.117,3.47,10.9,0.015,,,6174.0,1.3,1.17,0.342,4.27,,49.753044462386846,38.08493138644574,50.63673358199145,50.381628573746895,642.8939075476906,1378.1345021101235,590.5194103984846,760.070070410216,,,
838,HD 136352 c,HD 136352,0,0.1721,2.916,11.24,0.0,35.1,677.0,5664.0,1.06,0.87,0.016,4.39,,19.078561479859786,14.604246087128566,19.417425510787687,19.31960161606516,246.52744515862906,528.4666317435357,226.44364778230408,291.4604266736964,0.004526951398740085,0.002639301634135844,0.00035621669837250313
841,HD 136352 c,HD 136352,0,0.1729,2.608,11.29,0.037,36.0,682.0,5850.0,1.01,0.91,0.034,4.38,,22.9814961036472,17.591862201055033,23.389682140873155,23.271846241254483,296.9599949312725,636.5759730440055,272.76762006916914,351.0849949059226,0.005519042961146084,0.003485476182861467,0.00031661534728140965
849,HIP 57274 b,HIP 57274,0,0.07,,11.6,0.187,,,4640.0,0.68,0.73,0.19,4.71,,55.53227243689629,42.508811437488966,56.518609363001445,56.233871796266946,717.571356843284,1538.2162328523027,659.1131282893721,848.3585010171687,,,
855,HD 10180 d,HD 10180,0,0.1286,,11.75,0.088,,,5911.0,,1.06,0.173,4.39,,40.02184511086323,30.63589859628586,40.73269345096245,40.52748443838258,517.1502702722635,1108.585136475123,475.01970247857736,611.4079441783216,,,
862,HD 31527 d,HD 31527,0,0.8098,,11.82,0.24,,,5898.0,,0.96,0.079,4.45,,13.110641797817348,10.0359264181235,13.343506572887007,13.276282739249005,169.41177825266521,363.158234870204,155.61034602105252,200.28938011871145,,,
872,HD 45184 b,HD 45184,0,0.0644,,12.19,0.07,,,5869.0,,1.03,0.053,4.47,,42.075772581735684,32.20813779583977,42.82310177196336,42.60736140014603,543.6905045802764,1165.47790239583,499.39778933148915,642.7854973365753,,,
876,WASP-47 e,WASP-47,0,,1.817,12.2,,,,5576.0,1.11,0.98,0.032,4.34,,,,,,,,,,,,
885,HD 96700 d,HD 96700,0,0.424,,12.7,0.27,,,5845.0,,0.89,0.14,4.39,,20.90523943296622,16.00253045868668,21.276548019792646,21.169357970710664,270.13122940527194,579.0646994320974,248.12450770780683,319.36632178899987,,,
900,KOI-94 e,KOI-94,0,,,13.0,,,,6184.0,1.43,1.18,0.43,4.2,,,,,,,,,,,,
905,HD 10180 c,HD 10180,0,0.0641,,13.1,0.045,,,5911.0,,1.06,0.173,4.39,,56.68766603085097,43.39324145027681,57.694524490037594,57.403862729206104,732.5010060818275,1570.220058800074,672.8265070635315,866.0092819854078,,,
934,Kepler-10 c,Kepler-10,0,0.241,2.35,13.98,0.0,,,5708.0,1.06,0.91,0.002,4.34,,9.586388890306603,7.338183362972388,9.756657617581508,9.707504126708281,123.87243995933181,265.53818812765195,113.78095102570254,146.44987774252672,,,
945,HD 31527 c,HD 31527,0,0.2663,,14.16,0.04,,,5898.0,,0.96,0.079,4.45,,22.862686171905334,17.500915643968703,23.268761965524778,23.1515352549305,295.4247686531952,633.2849972274282,271.35746373401804,349.2699527479952,,,
991,KOI-94 c,KOI-94,0,0.1013,4.32,15.6,0.43,,1012.0,6182.0,1.52,1.28,0.479,4.18,,58.16814591269075,44.52651832464994,59.20129992780791,58.903047117292054,751.6313227602625,1611.2286126863748,690.3983384233545,888.626359195257,0.0005969955457697506,0.000513706535427343,2.9345314418161003e-05
1026,HD 34445 e,HD 34445,0,0.2687,,16.8,0.09,,,5836.0,1.38,1.07,0.303,4.21,,31.851719998604267,24.38183600210039,32.41745459248903,32.254137284359466,411.57836577213635,882.2767482060875,378.04840119830266,486.5941235079185,,,
1033,HD 109271 b,HD 109271,0,0.079,,17.162,0.25,,,5783.0,,1.05,0.301,4.28,,58.64542576832567,44.89186622949485,59.68705699363145,59.386356966411114,757.7985898028835,1624.449026498637,696.0631780726686,895.9176945777996,,,
1043,HD 125612 c,HD 125612,0,0.0524,,17.48065,0.049,,,5841.0,1.05,1.11,0.06,,,48.114750099662686,36.83085077551306,48.969340640101066,48.72263586346899,621.7243595140753,1332.7545658614065,571.0744772976284,735.042084181759,,,
1053,HD 125612 c,HD 125612,0,0.05,,18.0,0.27,,,5900.0,,1.09,0.037,4.41,,43.64871816021511,33.412195257615615,44.423985236625484,44.20017970419131,564.0156352378183,1209.0477099335953,518.0670970216906,666.8151596317164,,,
1063,HD 5278 c,HD 5278,0,0.2416,,18.4,0.07,,,6203.0,1.19,1.13,0.28,4.5,,32.93419922019667,25.210451563762483,33.5191602779221,33.35029263867747,425.565837375705,912.2608824276948,390.89635851650473,503.13100214647784,,,
1076,HD 190360 c,HD 190360,0,0.1304,,19.069,0.237,,,5549.0,1.17,0.98,0.066,4.29,,31.23584460282445,23.910396064216652,31.790640320663258,31.63048086748742,403.62020875815307,865.217307098588,370.7385696186538,477.1854840871053,,,
1086,HD 183579 b,HD 183579,0,0.1334,3.55,19.7,0.28,58.1,769.0,5788.0,0.98,1.03,0.012,4.5,,20.166171771181396,15.436789377047042,20.52435340148832,20.420952866475076,260.58121890518726,558.5928940359568,239.35250582133534,308.0756919230149,0.002159546879590497,0.0012537072177623097,0.0001437939212036456
1087,HD 219828 b,HD 219828,0,,,19.8,0.0,,,5891.0,,1.24,0.524,4.18,,,,,,,,,,,,
1092,HD 213885 c,HD 213885,0,0.056798,,19.95,0.0,,1265.0,5978.0,1.1,1.07,0.139,4.38,,57.01554023923493,43.64422240761558,58.02822223894412,57.73587932767175,736.7376981936322,1579.3020107450966,676.7180495070523,871.0181688855952,,,
1096,Kepler-10 c,Kepler-10,0,0.2407,2.227,20.0,0.0,,485.0,5627.0,1.06,0.9,0.002,4.34,,9.592361098687977,7.3427549655524516,9.76273590139251,9.713551788468214,123.94961104352332,265.7036153193565,113.85183523008148,146.54111430692168,0.0018795185678805626,0.0010408600241039458,0.0001764112857716103
1104,HD 190360 c,HD 190360,0,,,20.28,0.107,,,5549.0,1.17,0.98,0.066,4.29,,,,,,,,,,,,
1111,HD 219828 b,HD 219828,0,0.0507,,20.97678,0.101,,,5807.0,1.61,1.18,0.42,,,79.56359687945739,60.904295621623035,80.9767663777006,80.56880999518727,1028.096918472066,2203.871926962302,944.3411720052537,1215.4815717453696,,,
1113,HD 219828 b,HD 219828,0,0.045,,21.0,0.059,,,5891.0,1.69,1.23,0.489,4.08,,87.7257365512815,67.15224552553319,89.2838779622714,88.83407082005536,1133.5656375076624,2429.9591225164645,1041.2176940086356,1340.17339999623,,,
1114,K2-24 b,K2-24,0,0.154,5.68,21.0,0.0,60.0,767.0,5743.0,1.21,1.12,0.158,4.29,,35.75279318508453,27.36802722408529,36.38781672333288,36.204496954687535,461.9868626105929,990.3345286221086,424.35028006610185,546.1902548314008,0.0009036414242844839,0.0007483068430576817,4.4849695394327445e-05
1144,HD 10180 g,HD 10180,0,1.422,,21.4,0.19,,,5911.0,,1.06,0.173,4.39,,12.035601311267518,9.213005055012664,12.249371745651821,12.187660101572227,155.5204277506374,333.3801498969393,142.85067912766598,183.86614196042166,,,
1147,HD 192310 b,HD 192310,0,0.319,,21.6,0.3,,,5144.0,0.73,0.85,0.34,4.6,,30.087108563878626,23.03106227274458,30.62150099685551,30.467231601662103,388.7765864472198,833.3978921020769,357.10420943523604,459.6364096246494,,,
